	, program, declaration-list, declaration, var-declaration, type-specifier, fun-declaration, params, param-list, param, compound-stmt, local-declarations, statement-list, statement, expression-stmt, selection-stmt, iteration-stmt, while-statement, for-statement, jump-stmt, expression, id-assign, simple-expression, relop, additive-expression, addop, term, mulop, factor, call, args, arg-list, num, pos-num, neg-num, value, $, ID, ;, int, void, float, (, ), λ, ' , {, }, if, else, while, for, return, break, =, <=, <, >, >=, ==, !=, &&, ||, →, +, -, *, /, INT_NUM, FLOAT_NUM, f,
state0,,S01,S120,S04,S05,S119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S107,S108,S109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state1,,,S03,S04,S05,S119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R02,,,S107,S108,S109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R02,,,R02,R02,R02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R04,,,R04,R04,R04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S07,,,,S08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R06,,,R06,R06,R06,,,R06,,,,,,,,,,,,,,,,,,,,,,,,,,,
state8,,,,,S114,,S09,S111,S116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S107,S112,S109,,,S118,,,,,,,,,,,,,,,,,,,,,,,,,,,
state9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state10,,,,,,,,,,S11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S12,,,,,,,,,,,,,,,,,,,,,,,,,
state11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R10,,,R10,R10,R10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state12,,,,,,,,,,,S13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S110,,,,,,,,,,,,,,,,,,,,,,,,,,,
state13,,,,S105,S05,,,,,,,S14,,,,,,,,,,,,,,,,,,,,,,,,,,,S107,S108,S109,,,S106,,,,,,,,,,,,,,,,,,,,,,,,,,,
state14,,,,,,,,,,S72,,,S16,S17,S73,S81,S82,S88,S98,S18,S20,S30,,S31,,S43,,S46,S47,,,S48,S49,S55,S54,,S23,S71,,,,S40,,,,S12,S15,S74,,S83,S89,S99,S103,,,,,,,,,,S34,S50,S56,,,S52,S53,,
state15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R17,R17,R17,R17,R17,R17,R17,,,,R17,R17,R17,R17,R17,R17,R17,R17,,,,,,,,,,R17,R17,R17,,,R17,R17,,
state16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R20,R20,,,,R20,,,,R20,R20,R20,,R20,R20,R20,R20,,,,,,,,,,R20,R20,R20,,,R20,R20,,
state17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R22,R22,,,,R22,,,,R22,R22,R22,R22,R22,R22,R22,R22,,,,,,,,,,R22,R22,R22,,,R22,R22,,
state18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R27,R27,,,,R27,,,,R27,R27,R27,R27,R27,R27,R27,R27,,,,,,,,,,R27,R27,R27,,,R27,R27,,
state20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R60,,,,,R60,,R60,,,,,,,,,S21,R60,R60,R60,R60,R60,R60,R60,R60,,,,R60,R60,,,,
state21,,,,,,,,,,,,,,,,,,,,S22,S20,S30,,S31,,S43,,S46,S47,,,S48,S49,S55,S54,,S23,,,,,S40,,,,,,,,,,,,,,,,,,,,,S34,S50,S56,,,S52,S53,,
state22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R38,,,,,R38,,R38,,,,,,,,,,,,,,,,,,,,,,,,,,
state23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R40,,,,S24,R40,,R40,,,,,,,,,R40,R40,R40,R40,R40,R40,R40,R40,R40,,R40,R40,R40,R40,,,,
state24,,,,,,,,,,,,,,,,,,,,S69,S20,S30,,S31,,S43,,S46,S47,S25,S27,S48,S49,S55,S54,,S23,,,,,S40,,S70,,,,,,,,,,,,,,,,,,,S34,S50,S56,,,S52,S53,,
state25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R63,,,,,R63,,R63,,,,,,,,,,R63,R63,R63,R63,R63,R63,R63,R63,,R63,R63,R63,R63,,,,
state27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R64,,S28,,,,,,,,,,,,,,,,,,,,,,,,,,
state28,,,,,,,,,,,,,,,,,,,,S29,S20,S30,,S31,,S43,,S46,S47,,,S48,S49,S55,S54,,S23,,,,,S40,,,,,,,,,,,,,,,,,,,,,S34,S50,S56,,,S52,S53,,
state29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R66,,R66,,,,,,,,,,,,,,,,,,,,,,,,,,
state30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R39,,,,,R39,,R39,,,,,,,,,,,,,,,,,,,,,,,,,,
state31,,,,,,,,,,,,,,,,,,,,,,,S32,,,,,,,,,,,,,,,R42,,,,,R42,,R42,,,,,,,,,,S61,S62,S63,S64,S65,S66,S67,S68,,,,,,,,,
state32,,,,,,,,,,,,,,,,,,,,,S58,,,S33,,S43,,S46,S47,,,S48,S49,S55,S54,,S23,,,,,S40,,,,,,,,,,,,,,,,,,,,,S34,S50,S56,,,S52,S53,,
state33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R41,,,,,R41,,R41,,,,,,,,,,,,,,,,,,,,,,,,,,
state34,,,,,,,,,,,,,,,,,,,,,S58,,,S35,,S43,,S46,S47,,,S48,S49,S55,S54,,S23,,,,,S40,,,,,,,,,,,,,,,,,,,,,S34,S50,S56,,,S52,S53,,
state35,,,,,,,,,,,,,,,,,,,,,,,,,S36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S59,S60,,,,,,
state36,,,,,,,,,,,,,,,,,,,,,S58,,,,,S37,,S46,S47,,,S48,S49,S55,S54,,S23,,,,,S40,,,,,,,,,,,,,,,,,,,,,,S50,S56,,,S52,S53,,
state37,,,,,,,,,,,,,,,,,,,,,,,,,,,S38,,,,,,,,,,,R51,,,,,R51,,R51,,,,,,,,,,R51,R51,R51,R51,R51,R51,R51,R51,,R51,R51,S44,S45,,,,
state38,,,,,,,,,,,,,,,,,,,,,S58,,,,,,,S39,S47,,,S48,S49,S55,S54,,S23,,,,,S40,,,,,,,,,,,,,,,,,,,,,,S50,S56,,,S52,S53,,
state39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R55,,,,,R55,,R55,,,,,,,,,,R55,R55,R55,R55,R55,R55,R55,R55,,R55,R55,R55,R55,,,,
state40,,,,,,,,,,,,,,,,,,,,S41,S20,S30,,S31,,S43,,S46,S47,,,S48,S49,S55,S54,,S23,,,,,S40,,,,,,,,,,,,,,,,,,,,,S34,S50,S56,,,S52,S53,,
state41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S42,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R59,,,,,R59,,R59,,,,,,,,,,R59,R59,R59,R59,R59,R59,R59,R59,,R59,R59,R59,R59,,,,
state43,,,,,,,,,,,,,,,,,,,,,,,,,,,S38,,,,,,,,,,,R52,,,,,R52,,R52,,,,,,,,,,R52,R52,R52,R52,R52,R52,R52,R52,,R52,R52,S44,S45,,,,
state44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R57,,,,,R57,,,,,,,,,,,,,,,,,,,,,,R57,R57,,,R57,R57,,
state45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R58,,,,,R58,,,,,,,,,,,,,,,,,,,,,,R58,R58,,,R58,R58,,
state46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R56,,,,,R56,,R56,,,,,,,,,,R56,R56,R56,R56,R56,R56,R56,R56,,R56,R56,R56,R56,,,,
state47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R61,,,,,R61,,R61,,,,,,,,,,R61,R61,R61,R61,R61,R61,R61,R61,,R61,R61,R61,R61,,,,
state48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R62,,,,,R62,,R62,,,,,,,,,,R62,R62,R62,R62,R62,R62,R62,R62,,R62,R62,R62,R62,,,,
